km/h,rpm,m
53.73735665,11775.0771,13.4185447
53.87026026,11804.1993,13.53683902
53.99328695,11831.15725,13.65513334
54.11774089,11858.42794,13.77342765
54.24354166,11885.99375,13.89172197
54.37061442,11913.83828,14.01001629
54.49888935,11941.94624,14.12831061
54.62830123,11970.30332,14.24660493
54.75878903,11998.89617,14.36489925
54.89029551,12027.71223,14.48319357
55.02276696,12056.73974,14.81623346
55.16040095,12086.89848,15.14927336
55.30262085,8539.964828,15.48231326
55.44893772,8562.559433,15.81535315
55.59893207,8585.721925,16.14839305
55.75224051,8609.396186,16.48143294
55.90794251,8633.440066,16.81447284
56.06363402,8657.482327,17.14751273
56.21931492,8681.522949,17.48055263
56.37498507,8705.561911,17.81359253
56.53064435,8729.599194,18.35148709
56.685961,8753.583568,18.88938166
56.84063789,8777.469149,19.42727623
56.99468095,8801.256852,19.96517079
57.14809601,8824.947577,20.50306536
57.30088882,8848.542213,21.04095993
57.45306503,8872.041632,21.57885449
57.60463021,8895.446696,22.11674906
57.75558986,8918.758251,22.65464363
57.90594938,8941.977133,23.19253819
58.0557141,8965.104164,24.16474647
58.20488926,8988.140154,25.13695475
58.35338313,9011.070936,26.10916302
58.50111573,9033.884164,27.0813713
58.64809466,9056.581007,28.05357958
58.79432736,9079.162615,29.02578785
58.93982117,9101.630122,29.99799613
59.0845833,9123.98464,30.97020441
59.22862085,9146.227268,31.94241269
59.37194081,9168.359083,32.91462096
59.51455005,9190.38115,35.1837754
59.65645537,9212.294512,37.45292984
59.79766341,9234.100201,39.72208428
59.93818075,9255.79923,41.99123872
60.07801386,9277.392597,44.26039316
60.21716909,9298.881285,46.52954759
60.35565273,9320.266264,48.79870203
60.49349539,9341.552262,51.06785647
60.63072086,9362.742953,53.33701091
60.76733458,9383.839174,55.60616535
60.90334186,9404.841749,67.2853951
61.03874798,9425.75149,78.96462485
61.17355812,9446.569199,90.6438546
61.3077774,9467.295665,102.3230844
61.44141086,9487.931667,114.0023141
61.57446346,9508.477974,125.6815439
61.70694013,9528.935341,137.3607736
61.83884568,9549.304517,149.0400034
61.97016091,9569.582534,160.7192331
62.10082317,9589.759716,172.3984629
62.23083831,9609.836969,172.3984629
62.36021212,9629.815187,172.3984629
62.48895031,9649.69525,172.3984629
62.61705849,9669.478026,172.3984629
62.7445422,9689.164369,172.3984629
62.8714069,9708.755125,172.3984629
62.99765799,9728.251124,172.3984629
63.12330077,9747.653187,172.3984629
63.24844804,9766.978731,172.3984629
63.37310789,9786.229008,172.3984629
63.49728403,9805.404589,-145.1793247
63.62098012,9824.506039,-134.8907351
63.74419978,9843.533917,-124.6021455
63.86694656,9862.488774,-114.313556
63.98922401,9881.371153,-104.0249664
64.11103559,9900.181594,-93.73637688
64.23238476,9918.920626,-83.44778733
64.35327491,9937.588776,-73.15919777
64.4737094,9956.186562,-62.87060821
64.59369155,9974.714497,-52.58201866
64.71322463,9993.173086,-50.42656434
64.8323119,10011.56283,-48.27111001
64.95095654,10029.88422,-46.11565569
65.06916248,10048.13787,-43.96020137
65.18693492,10066.32458,-41.80474704
65.30427692,10084.44481,-39.64929272
65.4211915,10102.49905,-37.4938384
65.53768164,10120.48774,-35.33838408
65.65375032,10138.41134,-33.18292975
65.76940045,10156.27032,-31.02747543
65.60845314,10131.41644,-30.08806609
65.20606333,10069.27843,-29.14865674
64.80602502,10007.50355,-28.2092474
64.40877463,9946.159178,-27.26983805
64.01482673,9885.324787,-26.33042871
63.62479228,9825.094722,-25.39101936
63.23940265,9765.58192,-24.45161002
62.85954143,9706.922829,-23.51220067
62.48628801,9649.284131,-22.57279133
62.12097826,9592.872114,-21.63338198
61.75883343,9536.948831,-21.11042874
61.40028464,9481.580858,-20.58747549
61.04582764,9426.844748,-20.06452225
60.69603586,9372.829053,-19.54156901
60.35157708,9319.636893,-19.01861576
60.01323515,9267.389312,-18.49566252
59.68193866,9216.229705,-17.97270927
59.35879996,9166.329842,-17.44975603
59.04516951,9117.898267,-16.92680278
58.74271459,9071.192445,-16.40384954
58.44581473,9025.344448,-16.08026001
58.15516507,8980.461624,-15.75667048
57.87157904,8936.669582,-15.43308095
57.59601921,8894.116965,-15.10949142
57.32964058,8852.982129,-14.78590189
57.07385332,8813.482841,-14.46231236
56.8304185,8775.891046,-14.13872282
56.60160306,8740.556811,-13.81513329
56.39045352,8707.950587,-13.49154376
56.20134236,8678.747583,-13.16795423
56.0175767,8650.370044,-13.03844289
55.83982333,8622.920937,-12.90893155
55.6688877,8596.524643,-12.77942021
55.50576467,8571.334789,-12.64990887
55.35171989,8547.54682,-12.52039753
55.20843103,12097.42296,-12.39088619
55.07826195,12068.89995,-12.26137485
54.96489537,12044.05876,-12.13186351
54.87534377,12024.43596,-12.00235216
54.85992511,12021.05738,-11.87284082
54.84450645,12017.67881,-12.04755892
54.87373983,12024.0845,-12.22227702
54.91931193,12034.07039,-12.39699512
54.97673464,12046.65301,-12.57171322
55.04363739,12061.31292,-12.74643131
55.1184844,12077.7136,-12.92114941
55.20017438,12095.61374,-13.09586751
