km/h,rpm,m
78.06809985,9679.202875,-20.80815846
77.23698766,9576.158181,-20.8779522
77.23564077,9575.991188,-20.94774595
77.24105095,9576.661965,-21.01753969
77.25149056,9577.956309,-21.08733344
77.26605768,9579.762401,-21.15712718
77.28417257,9582.008359,-21.22692093
77.30542152,9584.642891,-21.29671467
77.32948987,9587.626984,-21.36650842
77.35612774,9590.929656,-21.43630217
77.38513037,9594.525521,-22.16208481
77.43596886,9600.828686,-22.88786745
77.50169052,9608.977126,-23.6136501
77.57648228,9618.250115,-24.33943274
77.65107624,9627.49858,-25.06521538
77.72547327,9636.722628,-25.79099803
77.79967422,9645.922366,-26.51678067
77.87367996,9655.097901,-27.24256332
77.94749135,9664.249339,-27.96834596
78.02110922,9673.376785,-28.6941286
78.09453443,9682.480342,-32.18936635
78.1677678,9691.560116,-35.68460409
78.24081017,9700.616209,-39.17984184
78.31366237,9709.648723,-42.67507959
78.38632521,9718.657759,-46.17031733
78.4587995,9727.643418,-49.66555508
78.53108605,9736.605802,-53.16079282
78.60321398,9745.548517,-56.65603057
78.67518891,9754.472265,-60.15126831
78.74701144,9763.377116,-63.64650606
78.81868212,9772.26314,-63.64650606
78.89020153,9781.13041,-63.64650606
78.96157023,9789.978994,-63.64650606
79.03278879,9798.808962,-63.64650606
79.10385776,9807.620384,-63.64650606
79.1747777,9816.413329,-63.64650606
79.24554915,9825.187864,-63.64650606
79.31617267,9833.944057,-63.64650606
79.38664881,9842.681977,-63.64650606
79.4569781,9851.401691,-63.64650606
79.52716108,9860.103264,145.442081
79.59719828,9868.786764,133.803599
79.66709025,9877.452257,122.1651171
79.73683751,9886.099807,110.5266351
79.80644058,9894.729481,98.88815309
79.87589999,9903.341344,87.24967111
79.94521626,9911.935458,75.61118913
80.0143899,9920.51189,63.97270715
80.08342143,9929.070702,52.33422517
80.15231136,9937.611957,40.69574319
80.22106019,9946.135719,39.74322713
80.02809311,9922.21087,38.79071108
79.67378609,9878.282434,37.83819502
79.32200106,9834.666684,36.88567896
78.97302937,9791.399745,35.9331629
78.62720253,9748.522716,34.98064685
78.28489955,9706.082591,34.02813079
77.94655612,9664.133386,33.07561473
77.61267615,9622.737579,32.12309868
77.28384649,9581.96793,31.17058262
76.92814337,9537.8664,35.00750692
76.55403678,9491.483133,38.84443122
76.1665378,9443.439421,42.68135552
75.76883884,9394.131075,46.51827982
75.36308125,9343.823586,50.35520412
74.95075753,9292.702002,54.19212842
74.53293935,9240.899193,58.02905272
74.11041453,9188.512834,61.86597702
73.6837732,11378.42695,65.70290132
73.25346412,11311.97758,69.53982562
72.8199514,11245.03349,73.08666524
72.38346685,11177.63049,76.63350486
71.94419366,11109.79686,80.18034447
