km/h,rpm,m
18.42802763,4038,0
19.82806829,4344.780752,0
21.06680904,4616.217026,0
22.2662209,4879.035446,0
23.39817237,5127.071759,0
24.4544812,5358.533049,0
25.45783508,5578.390706,0
26.44733324,5795.212259,0
27.46558331,6018.33401,0
28.46606829,6237.563025,0
29.42258193,6447.156919,0
30.35189753,6650.791104,0
31.28562384,6855.391776,0
32.25064653,7066.850197,0
33.22273292,7279.856437,0
34.16835781,7487.064359,0
35.07467708,7685.659525,0
35.93097271,7873.293374,0
36.76594045,8056.253796,0
37.58739115,8236.252329,0
38.40546367,8415.510626,0
39.23024395,8596.238744,0
40.04253643,8774.230503,0
40.84001422,8948.976024,0
41.6235533,9120.667259,0
42.39394829,9289.478322,0
43.14008122,9452.97302,0
43.86303104,9611.387769,0
44.56290784,9764.746694,0
45.24022317,9913.161888,0
45.89960638,10057.64775,0
46.54205562,10198.42299,0
47.16854117,10335.70022,0
47.78001727,10469.68854,0
48.37908916,10600.95882,0
48.96766034,10729.92815,0
49.54852036,10857.20779,0
50.11232345,10980.74988,0
50.65470436,11099.59787,0
51.17874906,11214.42798,0
51.68545925,11325.45971,0
52.17625357,11433.00391,0
52.6520276,11537.25682,0
53.11332807,11638.33825,0
53.5605351,11736.33148,0
53.99430689,11831.38074,0
54.41723442,11924.05378,0
54.82982846,12014.46252,0
55.23442926,12103.11976,0
55.63562753,8591.388527,0
56.02490195,8651.501227,0
56.41411082,8711.603805,0
56.80325214,8771.69595,0
57.18874203,8831.224235,0
57.57031322,8890.147382,0
57.94805444,8948.479098,0
58.32205114,9006.232575,0
58.69178345,9063.327535,0
59.05681239,9119.69619,0
59.41725311,9175.35632,0
59.77321619,9230.325002,0
60.12480794,9284.618652,0
60.47213059,9338.253059,0
60.815433,9391.266649,0
59.65134611,9211.505528,0
58.37351497,9014.179745,0
57.07635424,8813.869038,0
55.75840423,8610.348002,0
54.41803614,11924.22946,0
53.05342328,11625.21174,0
51.66250563,11320.43005,0
50.24294588,11009.37222,0
48.79207416,10691.45323,0
47.30681775,10365.99976,0
45.78361042,10032.23039,0
44.21827374,9689.229524,0
42.60585882,9335.912741,0
40.94043111,8970.97965,7.029
40.90650503,8963.545672,7.029
40.91766231,8965.990487,7.029
40.92066622,8966.648713,7.029
40.92114699,8966.75406,7.029
40.92120657,8966.767116,7.029
40.92121359,8966.768654,7.029
40.92121442,8966.768834,7.029
40.92121451,8966.768855,7.029
40.92121452,8966.768858,7.029
40.92121453,8966.768858,7.029
40.92121453,8966.768858,7.029
40.92121453,8966.768858,7.029
40.92121453,8966.768858,7.029
40.92121453,8966.768858,7.029
40.92121453,8966.768858,7.029
40.92121453,8966.768858,7.029
40.92121453,8966.768858,7.029
40.92121453,8966.768858,7.029
40.92121453,8966.768858,7.029
40.92121453,8966.768858,7.029
40.92121453,8966.768858,7.029
40.92121453,8966.768858,7.029
40.92121453,8966.768858,7.029
40.92121453,8966.768858,7.029
40.92121453,8966.768858,7.029
40.92121453,8966.768858,7.029
40.92121453,8966.768858,7.029
40.92121453,8966.768858,7.029
40.92121453,8966.768858,-10.397
41.48905101,9091.194747,-10.397
42.03668908,9211.194705,-10.397
42.56458932,9326.869655,-10.397
43.0731724,9438.311776,-10.397
43.56282387,9545.605549,-10.397
44.03389834,9648.828679,-10.397
44.48672313,9748.052892,-10.397
44.92160155,9843.344644,-10.397
45.3388157,9934.765754,-10.397
45.73862912,10022.37397,-10.397
46.12128908,10106.22347,-10.397
46.48702872,10186.36534,-10.397
46.83606901,10262.84801,-10.397
47.1686206,10335.71763,-10.397
47.48488556,10405.01847,-10.397
47.78505907,10470.79332,-10.397
48.06933108,10533.08378,-10.397
48.33788795,10591.9307,-10.397
48.59091421,10647.37451,-10.397
48.8285943,10699.45562,-10.397
49.05111456,10748.21487,-10.397
49.25866531,10793.69396,-10.397
49.45144328,10835.936,-10.397
49.62965438,10874.9861,-10.397
49.79351692,10910.89211,-10.397
49.94326551,10943.70544,-10.397
50.07915578,10973.48209,-10.397
50.2014702,11000.28396,-10.397
50.3105253,11024.18041,-10.397
50.40668078,11045.25026,-10.397
50.49035105,11063.58432,-10.397
50.56201955,11079.28852,-10.397
50.62225672,11092.48785,-10.397
50.67174129,11103.33105,-10.397
50.71128383,11111.99572,-10.397
50.74184839,11118.69311,-10.397
50.76456299,11123.6704,-10.397
50.78070299,11127.20704,-10.397
50.79162959,11129.6013,-10.397
50.79867971,11131.14614,-10.397
50.80303714,11132.10096,-10.397
50.80563927,11132.67114,-10.397
51.32465524,11246.39935,0
51.82667157,11356.40254,0
52.31311559,11462.99349,0
52.78475045,11566.33942,0
53.24197124,11666.52689,0
53.6852908,11763.66829,0
54.11586923,11858.01782,0
54.53581042,11950.03648,0
54.9455354,12039.81655,0
55.34915837,8547.151264,0
55.73847971,8607.27121,0
56.12773701,8667.381266,0
56.51692823,8727.481117,0
56.9053615,8787.463926,0
57.28980851,8846.831165,0
57.67036056,8905.596935,0
58.04710551,8963.774804,0
58.42012794,9021.377832,0
58.78860706,9078.279272,0
59.15241367,9134.459171,0
59.51166168,9189.935119,0
59.86646052,9244.724018,0
60.21691541,9298.842112,0
60.56312755,9352.30503,0
60.90541436,9405.161788,0
61.2439068,9457.432613,0
61.57868662,9509.130123,0
61.90983267,9560.2665,0
62.23723745,9610.82514,0
62.56059324,9660.758525,0
62.87998987,9710.080527,0
63.19551401,9758.804531,0
63.5076785,9807.009728,0
63.81681847,9854.747871,0
64.12299074,9902.027737,0
64.42625043,9948.857833,0
64.72665095,9995.24641,0
65.02424416,10041.20148,0
64.18653969,9911.841119,0
62.96919026,9723.855069,0
61.73675336,9533.539173,0
60.48821542,9340.736917,0
59.22246255,9145.276289,0
57.93826602,8946.967546,0
56.63426494,8745.600537,0
55.30894548,8540.941492,0
53.9606156,11823.99822,0
52.58737425,11523.0898,0
51.18707331,11216.25202,0
49.75727015,10902.94962,0
48.29516777,10582.56973,-9.487
48.2590125,10574.64729,-9.487
48.25974564,10574.80794,-9.487
48.26010263,10574.88617,-9.487
48.26027505,10574.92395,-9.487
48.26035799,10574.94212,-9.487
48.26039781,10574.95085,-9.487
48.26041691,10574.95503,-9.487
48.26042607,10574.95704,-9.487
48.26043046,10574.958,-9.487
48.26043256,10574.95846,-9.487
48.26043357,10574.95868,-9.487
48.23573864,10569.54746,-9.487
47.98258517,10514.07578,-9.487
47.62931333,10436.66588,-9.487
47.18250402,10338.7598,-9.487
46.64513012,10221.00896,-9.487
46.01856564,10083.71443,-9.487
45.30322423,9926.966854,-9.487
44.49880447,9750.700187,-9.487
43.60437518,9554.710385,-9.487
42.61837456,9338.655223,-9.487
41.53854748,9102.040549,-9.487
40.36182418,8844.193711,-9.487
39.08413032,8564.221923,-9.487
37.70010459,8260.950407,-9.487
36.20268116,7932.830875,-9.487
34.58246115,7577.803818,-9.487
32.82673677,7193.084672,-9.487
30.91790835,6774.816949,-9.487
28.83076277,6317.47588,-9.487
28.79853472,6310.413982,3.623
28.76630668,6303.352084,3.623
28.79853472,6310.413982,3.623
28.76630668,6303.352084,3.623
28.79853472,6310.413982,3.623
28.76630668,6303.352084,3.623
28.79853472,6310.413982,3.623
28.76630668,6303.352084,3.623
28.79853472,6310.413982,3.623
28.76630668,6303.352084,3.623
28.79853472,6310.413982,3.623
28.76630668,6303.352084,3.623
28.79853472,6310.413982,3.623
28.76630668,6303.352084,3.623
